Code;Désignation courte;Famille;Prix de Vte HT;Prix de Vte TTC;Stock théor.;Stock réel;Stock disponible;Quantité en cde client;Quantité en cde fournisseur
ART0561;Hébergement Licence Office 2021;LOGICIEL;6.99;8.39;-4469;-4368;-4381;101;
ART0591;Hébergement Licence TSE;LOGICIEL;9;10.8;-3689;-3291;-3317;399;1
ART2072;Antivirus PSB premium -  PC 3 ans;LOGICIEL;99;118.8;-3551;-3132;-3318;419;
ART0804;Office 2024 Home&Business;LOGICIEL;259.89999999999998;311.88;-1175;-1093;-1137;90;8
ART2364;Licence d'utilisation logiciel 3cx ;;5.4;6.48;-747;-132;-150;615;
ART2882;MICROSOFT 365 Gouvernance;MICROSOFT 365;1.99;2.39;-735;-490;-599;245;
ART0099;Abonnement Licence VPN;LOGICIEL;9;10.8;-603;-600;-601;3;
ART0350;MICROSOFT 365 Business Standard;MICROSOFT 365;15.9;19.079999999999998;-603;-289;-315;314;
ART0800;MICROSOFT Exchange Server 2019 CAL;MICROSOFT 365;49;58.8;-388;-217;-217;171;
ART2304;TARGUS Sacoche 15.6;ACCESSOIRES PC;29.9;35.880000000000003;-361;-333;-365;28;
ART0129;MCL SAMAR, Câble RJ45 1M;MATERIELS RESEAU;2.95;3.54;-287;-347;-331;20;80
ART1186;Licence Microsoft TSE;LOGICIEL;129.9;155.88;-266;-240;-240;26;
ART2190;Office Teams visio;LOGICIEL;4.8;5.76;-258;-220;-223;38;
ART0173;PF SENSE APPLIANCE;MATERIELS RESEAU;389;466.8;-250;-228;-234;22;
ART0200;Licence CAL Windows Serveur 2019;LOGICIEL;245;294;-241;-228;-228;57;44
ART2033;Antispam Mailinblack MIB Protect;;4.99;5.99;-213;-213;-213;;
ART0670;Câble_à titre indicatif;MATERIELS RESEAU;;;-212;-184;-190;28;
ART2544;Passbolt : Abonnement Cloud;HEBERGEMENT;4.99;5.99;-187;-57;-161;130;
ART0716;MICROSOFT 365 Business Premium;MICROSOFT 365;20.6;24.72;-178;-111;-113;67;
ART1862;V7, Câble RJ45 50cm blanc;MATERIELS RESEAU;2.75;3.3;-176;-178;-178;18;20
ART2971;GOOGLE - Workspace Business Std;LOGICIEL;13.6;16.32;-174;-74;-158;100;
ART1395;Microsoft  Server 2019 cal ;LOGICIEL;49;58.8;-161;-136;-136;25;
ART1600;MICROSOFT 365 Teams;MICROSOFT 365;4.2;5.04;-160.1;-133.1;-133.1;27;
ART0219;Certificat SSL-Domaine Unique-1 an;LOGICIEL;99;118.8;-154.5;-146.5;-150.5;8;
ART2201;Antivirus standard -  Serveur;LOGICIEL;199;238.8;-154;-135;-136;19;
ART1901;"Ecran ACER CB242Y 23,8""";ECRANS;179;214.8;-154;-78;-154;77;1
ART0457;Antivirus Vade Secure VRC - 3 ans;LOGICIEL;;;-152;-128;-152;24;
ART1559;Mémoire vive 4Go DDR4,DIMM,2666 MHz;MEMOIRES VIVES;39;46.8;-148;-142;-143;26;20
ART1371;MICROSOFT 365 Exchange - Plan 1;MICROSOFT 365;7.99;9.59;-140;-73;-104;67;
ART1714;YEALINK Téléphone filaire T53;TELEPHONE;149;178.8;-137;-130;-130;22;15
ART0430;YEALINK téléphone fialire SIP-T41S;TELEPHONE;249;298.8;-130;-142;-140;10;22
ART1232;Antivirus Eset EndPoint Protection ;LOGICIEL;59.9;71.88;-128;-127;-127;1;
ART2976;Antivirus ESET Endpoint Protect Ent;LOGICIEL;20.9;25.08;-113;-109;-111;4;
