Code;Désignation courte;Famille;Prix de Vte HT;Prix de Vte TTC;Stock théor.;Stock réel;Stock disponible;Quantité en cde client;Quantité en cde fournisseur
LOG-HEB-OFF2021;Hébergement licence Office 2021;Logiciel;6.99;8.39;-4469;-4368;-4381;101;
LOG-HEB-TSE;Hébergement licence TSE;Logiciel;9;10.8;-3689;-3291;-3317;399;1
LOG-WS-PSB-PC-3A;WithSecure PSB premium — PC 3 ans;Logiciel;99;118.8;-3551;-3132;-3318;419;
LOG-MS-OFF-2024;Microsoft Office 2024 — Home & business;Logiciel;259.89999999999998;311.88;-1175;-1093;-1137;90;8
LOG-3CX;3Cx — Licence d'utilisation;Logiciel;5.4;6.48;-747;-132;-150;615;
LOG-MS365-GOUV;Microsoft 365 — Gouvernance;Logiciel;1.99;2.39;-735;-490;-599;245;
LOG-VPN-ABO;VPN — Abonnement licence;Logiciel;9;10.8;-603;-600;-601;3;
LOG-MS365-BIZ-STD;Microsoft 365 business standard;Logiciel;15.9;19.079999999999998;-603;-289;-315;314;
LOG-MS-EXCH-CAL;Microsoft Exchange server 2019 — CAL;Logiciel;49;58.8;-388;-217;-217;171;
ACC-TARGUS-SAC15;"Targus — Sacoche 15,6""";Accessoires PC;29.9;35.880000000000003;-361;-333;-365;28;
RES-MCL-RJ45-1M;Mcl Samar — Câble RJ45 1 m;Materiels reseau;2.95;3.54;-287;-347;-331;20;80
LOG-MS-TSE-LIC;Microsoft TSE — Licence;Logiciel;129.9;155.88;-266;-240;-240;26;
LOG-MS-TEAMS-VISIO;Microsoft Teams — Module visioconférence;Logiciel;4.8;5.76;-258;-220;-223;38;
RES-PFSENSE-APP;Pfsense appliance;Materiels reseau;389;466.8;-250;-228;-234;22;
LOG-MS-WIN2019-CAL;Microsoft Windows server 2019 — CAL;Logiciel;245;294;-241;-228;-228;57;44
LOG-MIB-ANTISPAM;Mailinblack MIB protect — Antispam;Logiciel;4.99;5.99;-213;-213;-213;;
HEB-PASSBOLT;Passbolt — Abonnement cloud;Hebergement;4.99;5.99;-187;-57;-161;130;
LOG-MS365-BIZ-PRE;Microsoft 365 business premium;Logiciel;20.6;24.72;-178;-111;-113;67;
RES-V7-RJ45-50CM-BL;V7 — Câble RJ45 50 cm blanc;Materiels reseau;2.75;3.3;-176;-178;-178;18;20
LOG-GOOG-WS-STD;Google workspace business standard;Logiciel;13.6;16.32;-174;-74;-158;100;
LOG-MS-SRV2019-CAL;Microsoft server 2019 — CAL;Logiciel;49;58.8;-161;-136;-136;25;
LOG-MS365-TEAMS;Microsoft 365 Teams;Logiciel;4.2;5.04;-160.1;-133.1;-133.1;27;
LOG-SSL-DOM-1A;Certificat SSL domaine unique — 1 An;Logiciel;99;118.8;-154.5;-146.5;-150.5;8;
LOG-WS-STD-SRV;WithSecure standard — Antivirus serveur;Logiciel;199;238.8;-154;-135;-136;19;
ECR-ACER-CB242Y;"Acer CB242Y — Écran 23,8""";Ecrans;179;214.8;-154;-78;-154;77;1
LOG-VADE-VRC-3A;Vade secure VRC — Antivirus 3 ans;Logiciel;;;-152;-128;-152;24;
MEM-4G-DDR4-2666;Mémoire 4 Go DDR4 DIMM 2666 MHz;Memoires vives;39;46.8;-148;-142;-143;26;20
LOG-MS365-EXCH-P1;Microsoft 365 Exchange — Plan 1;Logiciel;7.99;9.59;-140;-73;-104;67;
TEL-YEA-T53;Yealink T53 — Téléphone filaire;Telephone;149;178.8;-137;-130;-130;22;15
TEL-YEA-T41S;Yealink T41S — Téléphone filaire SIP;Telephone;249;298.8;-130;-142;-140;10;22
LOG-ESET-EPP;Eset endpoint protection — Antivirus;Logiciel;59.9;71.88;-128;-127;-127;1;
LOG-ESET-EPP-ENT;Eset endpoint protection enterprise — Antivirus;Logiciel;20.9;25.08;-113;-109;-111;4;
GAR-PFSENSE-3A;Extension garantie 3 ans — Pfsense;Garantie;89;106.8;-113;-105;-107;8;
LOG-MS-OFF2019-TSE;Microsoft Office 2019 open — TSE;Logiciel;399;478.8;-111;-86;-86;25;
ECR-ACER-B227Q;"Acer B227Qbmiprx — Écran 21,5""";Ecrans;159;190.8;-105;-123;-123;;18
